Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
ID Tech: Coding: JavaScript and P5,https://www.idtech.com/courses/small-group-javascript-and-p5,After-School Program,Private,"Elementary, Middle",624.0,,Virtual,,,,,"JavaScript is the backbone of the internet and an advanced language in its own right. Beginning from the ECMAScript specification, it’s extensively supported and has many libraries that extend its functionality. There are tons of tools and features which make it a rich environment for learning text-based coding fundamentals, exploring advanced algorithms, and much more. JavaScript's syntax is more forgiving than some languages, so you can get up and running quickly, but it doesn’t sacrifice the depth of experience you can gain from learning it.",Ages 10-12,624.0,,12 lessons
High Tech Yeti,https://hitechyeti.com/classes/,After-School Program,Private,"Elementary, Middle, High",$199-$349,,Virtual,,,,,"At HiTech Yeti we believe that learning through play and experimentation is the most effective way to master new skills. Our mission is to make STEM education FUN, Accessible, and to give kids more opportunities to socialize with likeminded peers! We learn who we are by interacting with others. Kids more than anyone need time to socialize and play with each other. If we can’t do this in person then online is the next best option.",Ages 9+,$199-$349,,M-F for 2 hours each day or Sat/Sun for two hours each
ScratchJR,https://www.scratchjr.org/,After-School Program,Non-Profit,Elementary,Free,,Virtual,,,,,"Coding is the new literacy! With ScratchJr, young children (ages 5-7) can program their own interactive stories and games. In the process, they learn to solve problems, design projects, and express themselves creatively on the computer.",Ages 5-7,Free,,Online app with modules for kids to work through
Sylavan Learning: Coding Camp,https://www.sylvanlearning.com/camps/stem,After-School Program,Private,"Elementary, Middle",,,Virtual,,,,,"Using our exclusive Tynker™ technology platform, younger kids can learn coding fundamentals with easy to use drag and drop technology, while older kids can dive into JavaScript and Python Coding for more advanced programming. Kids will love designing their own video games and coding them to fruition!",Grades 3-8,,,
WhizKidz,https://whizkidzcc.com/,After-School Program,Private,"Elementary, Middle, High",$375-$550,,"Virtual, CA",,,,,"WhizKidz Computer Center is the premier facility for your child to learn computer programming. Our center offers a variety of courses ranging from Java, Python, PHP, C/C++/C#, HTML5/CSS3/JavaScript, Raspberry Pi, Arduino, LEGO EV3 Robotics, Scratch, Minecraft modding and many more. No one has as much variety or is as complete as we are in our offering. We also have tutoring, private and semi-private lessons to complement our courses.",Ages 8+,$375-$550,,1.5 hour long classes/week for 8 weeks
STEMpedia,https://thestempedia.com/shop/online-courses/artificial-intelligence-for-kids/,Curriculum,Private,"Elementary, Middle, High",$20-$240,,Virtual,,,,,Artificial Intelligence (AI) for Kids is an online course on artificial intelligence and machine learning for kids and beginners of all ages. It is the perfect platform to learn AI and machine learning in an interactive and playful manner from the safety and comfort of home.,7 and up,$20-$240,,Online course with 12 tutoring sessions
STEM Kids Nation Code Course Pathway,https://www.stemkidsnation.com/coding-courses/,Curriculum,Private,"Elementary, Middle, High",Free,,Virtual,,,,,"STEMKidsNation offers STEM learning opportunities for all ages from kindergarten all the way through high school. STEMKidsNation, encompasses the concept of “Start Young” with the kids by involving them at a young age.   Our Curriculum is designed and developed in such a way that it can be used as a year around program for After School Programs, Science Clubs, Home Schools, and in Summer Camps.",Grades K-12,Free,,User driven timelines
YMCA STEM Program,https://www.ymca.net/stem,After-School Program,Non-Profit,"Elementary, Middle",Varies,,USA,Underrepresented,,,Community,"What happens when you combine STEM (science, technology, engineering and mathematics) concepts and Legos? Watch as Maridee builds working robots in Valparaiso Family YMCA’s LEGO® Mindstorms program and learns to LOVE science. This is her Y. Her camera. Her story.",Grades K-8,Varies,,
SMASH Academy,https://www.smash.org/programs/smash-academy/,After-School Program,Non-Profit,High,Free,,CA,Underrepresented,,,Community,"SMASH Academy, our flagship program, is a FREE, 3 year, intensive STEM focused college prep program that empowers students to deepen their talents and pursue STEM careers. For 4 – 5 weeks every summer, scholars are immersed in tuition-free studies in partnership with leading universities throughout the country.  During the academic year, scholars participate in monthly programming.",High School,Free,,Year Round for three years
Insights El Paso,http://www.insightselpaso.org/curiosity-machine/,After-School Program,Private,"Elementary, Middle, High, Educators",not specified,,TX,Underrepresented,,,,Insights El Paso Science Center was founded in 1979 to offer interactive science education experiences to the Border Region.,K-12 students and educators,not specified,,Not specified
DoD Starbase,https://dodstarbase.org/,After-School Program,Government,Middle,Free,,USA,,,,,"Mission Statement: To expose our nation’s youth to the technological environments and positive civilian and military role models found on Active, Guard, and Reserve military bases and installations, nurture a winning network of collaborators, and build mutual loyalty within our communities, by providing 25 hours of exemplary hands-on instruction and activities that meet or exceed the National Standards.",Grades 6-8,Free,,
The Last Mile,https://thelastmile.org/,Curriculum,Non-Profit,"High, Postsecondary",Free,,"CA, ND, KS,OK,IN,MI",Underrepresented,,,Community,"The Last Mile has generated a groundswell of support for criminal justice across America. Never before have we experienced such a cooperative, non-partisan effort to curb the problem of mass incarceration. Imagine if we could break the cycle of incarceration and instead of spending tax dollars for prison, we could spend these tax dollars on higher education, and provide educational opportunities for youth in underserved communities. This would enable them to choose a different path than one of crime. With education and career training opportunities we could break the generational cycle of incarceration.",People in correctional facilities and juvenile detention,Free,,
TECHNOLOchicas,https://technolochicas.org/,Curriculum,Non-Profit,Educators,Free,,Virtual,Underrepresented,Female,Latinx,Community,TECHNOLOchicas is a national initiative of the National Center for Women & Information Technology (NCWIT) and Televisa Foundation designed to raise awareness among young Latinas and their families about opportunities and careers in technology.,Latin women students and educators,Free,,Not specified
Aspirations in Computing (AiC),https://www.aspirations.org/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators. Postsecondary",Not specified,,Virtual,Underrepresented,Female,,,"Aspirations in Computing (AiC) encompasses a suite of programs that provides technical girls and women with ongoing engagement, visibility, and encouragement for their computing-related interests and achievements.","K-12, college, post-grad female students and educators",Not specified,,1 year
Hidden Genius Project intensive Immersion Program,https://www.hiddengeniusproject.org/programs/,Fellowship,Non-Profit,High,Free,,CA,Underrepresented,Male,Black/African American,,"Our Intensive Immersion Program is a 15-month holistic mentorship experience that provides computer science, software development, entrepreneurship, and leadership training to Black male high school students in Oakland, Richmond, and Los Angeles, CA.",Black Male Students Grades 9-11,Free,,15 months
Smash Rising,https://www.smash.org/risingscholarintern,Internship,Non-Profit,High,Free,,CA,Underrepresented,,,,"SMASH Rising places teams of SMASH alumni at workplaces to provide internship preparation and workplace exposure early in their college careers. This is a paid internship for SMASH Academy Alumni entering their first, second and third years of college.  The program, supported by dedicated project managers, allows Scholar-Intern teams to put the skills developed at SMASH Academy into action.",High School,Free,,Summer
ID Tech: Minecraft Modding with Java Coding,https://www.idtech.com/courses/virtual-minecraft-modding-with-java-coding,After-School Program,Private,"Elementary, Middle",449.0,,Virtual,,,,,"Use Java code to add personalized, modded flair to Minecraft! Create your own items and blocks, then design and build an adventure map to incorporate your awesome additions into the game. Practice Java coding fundamentals and game design to create mods and maps to share with friends.",Ages 10-12,449.0,,1 week
ID Tech: Minecraft Modding in Java,https://www.idtech.com/courses/virtual-minecraft-modding-in-java,After-School Program,Private,"Middle, High",449.0,,Virtual,,,,,"Go beyond the fundamentals and get straight to production-level Java coding with Minecraft. You'll modify a living code base in this ever-popular game, creating custom tools, blocks, and mobs. Unleash the power of Java while gaining critical problem-solving skills for future careers and personal projects.",Ages 13-17,449.0,,1 week
Minecraft Education,https://education.minecraft.net/hour-of-code-2020,Curriculum,Private,"Elementary, Middle, High",Free,,Virtual,,,,,"Minecraft: Education Edition is an open-world game that promotes creativity, collaboration, and problem-solving in an immersive environment where the only limit is your imagination.",Ages 3 and up,Free,,Different Curriculum options
Code Wizards HQ,https://codewizardshq.com/coding-programs-for-kids/,After-School Program,Private,"Elementary, Middle, High",$447 per 12 week course,,Virtual,,,,,xCodeWizardsHQ’s online coding classes for kids and teens are developed to target learning at the age and stage of our students. Classes are structured so that students build their coding skills and confidence as they advance Wizard Levels.,Grades 3-12,$447 per 12 week course,,12 lessons per course
CodeNow,https://www.codenow.org/,After-School Program,Non-Profit,High,Free,,Virtual,,,,,"Beginner friendly program focued on educating people on how to code with the hope to help people get the skills to build apps, do well in college, and get internships",High School Students,Free,,Multiple levels of activities
Pluralsight One Fund for Students,https://www.pluralsightone.org/product/education/code-org-redemption-3m,Curriculum,Non-Profit,High,$30/month,,Virtual,Underrepresented,,,,"Pluralsight One is committed to driving significant, lasting social impact by improving equal access to technology skills and funding solutions that scale. Offering is for high school computer science students and provides access to 350 courses with over 1,000 hours of content free for 1 year.",High School students,$30/month,,Not specified
Hour of Code Activities,https://hourofcode.com/us/learn,Curriculum,Private,"Elementary, Middle, High",Free,,Virtual,Underrepresented,,,,"Hour of Code started as a one-hour introduction to computer science, designed to demystify ""code"", to show that anybody can learn the basics, and to broaden participation in the field of computer science. It has since become a worldwide effort to celebrate computer science, starting with 1-hour coding activities but expanding to all sorts of community efforts.",K-12 students,Free,,User driven timelines
AI 4 K12,https://ai4k12.com/resources/list-of-resources/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,,,,"A site used to organize the AI for K-12 initiative jointly sponsored by the Association for the Advancement of Artificial Intelligence (AAAI) and the Computer Science Teachers Association (CSTA). To help get started on the dialog that will eventually result in (1) national guidelines for AI education for K-12, (2) an online, curated Resource Directory to facilitate AI instruction, and (3) a community of curriculum, resource, and tool developers focused on the AI for K-12 audience.",K-12 students and educators,Free,,Not specified
Discovery Education Coding,https://www.discoveryeducation.com/programs/stem/coding/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,,,,"With Discovery Education Coding, students will gain a secure understanding of coding concepts, like algorithms, sequences and variables, and develop critical computational thinking skills through decomposition, logical reasoning, and imaginative problem-solving. And, best of all, students and teachers alike will be able to demonstrate their creativity and build confidence by creating their very own apps and sharing them with their classmates and colleagues.",K-12 students,Free,,Self-guided lessons
AI for Everyone,https://www.coursera.org/learn/ai-for-everyone?utm_source=gg&utm_medium=sem&utm_campaign=08-AIforEveryone-US&utm_content=08-AIforEveryone-US&campaignid=2086156056&adgroupid=77821947756&device=c&keyword=andrew%20ng%20ai&matchtype=b&network=g&devicemodel=&adpostion=&creativeid=492336415407&hide_mobile_promo&gclid=CjwKCAjw1uiEBhBzEiwAO9B_HRg4PUQbQp5bvq6y35g2ZXwi7Kzv9DT-7m0mTlpZtbHxf3A29RS9UhoCGogQAvD_BwE,Curriculum,Private,Anyone,Free,,Virtual,Underrepresented,,,,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take.",Anyone,Free,,35 videos
AI 101,https://www.accenture.com/us-en/services/digital/what-artificial-intelligence-really,Curriculum,Private,Anyone,Free,,Virtual,,,,,"What is deep learning? Or intelligent automation? Or any number of AI-related technologies and applications that seem to be used more and more every day? These videos tackle AI, analytics and automation topics one at a time, using simple analogies, clear definitions and practical applications—all in under a minute.",Anyone,Free,,
AI Foundations for Everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone,Curriculum,Private,Anyone,Free,,Virtual,,,,,"This specialization is designed for those with little or no background in AI, whether you have technology background or not, and does not require any programming skills. It is designed to give you a firm understanding of what is AI, its applications and use cases across various industries. You will become acquainted with terms like Machine Learning, Deep Learning and Neural Networks.",Anyone,Free,,3 courses within specialization
Creative Computing Curriculum,http://scratched.gse.harvard.edu/guide/,Curriculum,University,"Elementary, Middle, High",Free,,Virtual,,,,,"A collection of ideas, strategies, and activities for an introductory creative computing experience using a free computer programming language, Scratch.",K-12 students,Free,,Not specified
Create & Learn,https://www.create-learn.us/,Curriculum,Private,"Elementary, Middle, High",Varies,,Virtual,,,,,"Our online coding classes for kids were developed by tech experts from top companies like Google, experienced teachers, and talented graduates of Stanford, MIT, and Harvard to teach your kids computer programming, Robotics, Artificial Intelligence, and more. Comprehensive and Personalized Curriculum Paths Where all students succeed, no matter their interests. coding for kids Explore online coding for kids classes by grade Scratch, AI, Robotics, Python, Minecraft, and Other Coding Languages",K-12 students,Varies,,Extensive Courses
Self-study AP Computer Science Principles online class,https://edhesive.com/courses/apcs_principles,Curriculum,Private,High,Request a Quote,,Virtual,,,,,"Edhesive is recognized by the College Board as an endorsed provider of curriculum and professional development for AP® Computer Science Principles (AP CSP). This endorsement affirms that all components of Edhesive‘s offerings are aligned to the AP Curriculum Framework standards and the AP CSP assessment. Using an endorsed provider affords schools access to resources including an AP CSP syllabus pre-approved by the College Board’s AP Course Audit, and officially recognized professional development that prepares teachers to teach AP CSP.",High School AP Computer Science Students,Request a Quote,AP Computer Science Students,Year Round
STEM in Afterschool,https://www.akafterschool.org/stem-in-afterschool,After-School Program,Non-Profit,"Elementary, Middle, High",Year Round,,AK,Underrepresented,,,Community,"The Alaska Afterschool Network is dedicated to expanding access to productive out-of-school science, technology, engineering, and mathematics (STEM) learning programs by improving existing programs and creating new ones. STEM-focused programs that operate outside of school are uniquely effective at reducing achievement gaps. The network's desire is that every child in Alaska has access to high-quality STEM opportunities in their community during out-of-school time.",K-12 Students,Year Round,,
GES Education Group,https://www.geseducation.us/after-school-enrichment,After-School Program,Private,"Elementary, Middle, High, Educators",Request a Quote,,CA,,,,,"A good after school program can turn the aimless hours after school into productive learning time. We provide students with the opportunity to learn about the most advanced technologies and their applications, such as artificial intelligence and self-driving vehicle. Students not only develop their creativity and logical thinking skills, but also enjoy a lot of fun by working with peers on the hands on projects included in the classes.",Pre K-12,Request a Quote,,Year Round
ID Tech: Coding Apps with Java,https://www.idtech.com/courses/virtual-coding-apps-with-java,After-School Program,Private,"Middle, High",449.0,,Virtual,,,,,"Learn the fundamentals of Java, one of the most relevant and long-standing programming languages in the world today. Java has dozens of uses, from game development to business apps. No matter where you are in your coding journey—just starting out, preparing a college résumé, or prepping for the AP Computer Science exam—you’ll hone your Java skills with console applications and programming challenges.",Ages 13-17,449.0,,1 week
Stembuilders,https://www.stembuilders.com/franklin-afterschool,After-School Program,Private,"Elementary, Middle, High",$249/month,,"Virtual, MN, TN",,,,,"STEM Builders' curriculum is designed so that no student is left behind. Each student gets an opportunity to work on designing, programming, documenting, and exploring and practicing science and math. They also work in teams to learn collaboration and communication. By sharing their work at the end of every project, our students develop confidence and presentation skills. We challenge our students with advanced curriculum, helping them develop critical thinking, logical thinking, and problem-solving skills.",Ages 6+,$249/month,,2-50 minute classes/week
Ed Farm Student Fellows,https://edfarm.org/programs/student-programs/,Curriculum,Non-Profit,"Middle, High",Free,,AL,,,,,"Middle and high school students participate in year-long, challenge-based learning experiences designed to solve real community problems. At the beginning of each experience, community leaders identify a challenge and invite Student Fellows to solve it during the school year. Students work together to investigate the challenge, build digital skills, and create actionable solutions. Student Fellows present their solutions to the community at the end of the year.",Middle and High School Students,Free,,1 year
Advanced Cyber Education Course,https://www.afit.edu/CCR/page.cfm?page=658&tabname=Tab1A,Curriculum,Government,Postsecondary,Free,,OH,,,,,"Advanced Cyber Education (ACE) program is a four week course that takes place during the undergraduate academic summer break at the Air Force Institute of Technology (AFIT). The program consists of an instructional component, cyber war exercises, and cyber officer development days that focus on the study of cyber and its unique leadership challenges.",ROTC Juniors and Seniors,Free,"U.S. Citizen, 2.75 GPA minimum",4 weeks
ID Tech: Roblox Game Design: Coding and Monetization,https://www.idtech.com/courses/virtual-roblox-game-design-coding-and-monetization,After-School Program,Private,"Elementary, Middle",449.0,,Virtual,,,,,"Roblox is one of the fastest-growing game creation platforms on the planet, with more than 100 million players per month and top developers making over $1 million a year. With Roblox’s built-in editor you'll create your own 3D worlds. Publish, share, and immediately play with friends on any platform from console to mobile. Check out games that have been runaway hits and learn how to implement some of the same gameplay and monetization strategies in your own creations.",Ages 10-12,449.0,,1 week
Digital Adventures,https://www.digitaladventures.com/curriculum,After-School Program,Private,"Elementary, Middle",$19-$75 per week,,Virtual,,,,,"Our entire curriculum centers around developing students into independent technologists who can come up with an idea and make it real without any external support. Depending on their age, students can start with Scratch, Roblox or JavaScript, but they'll all go through this common skill progression.",Grades K-8,$19-$75 per week,,1-5 50 minute classes per week
OBotz,https://www.obotz.ca/,After-School Program,Private,"Elementary, Middle, High",Request quote,,CA,,,,,"With O’Botz after school program, prepare your child to contribute in creating this future. It offers comprehensive robotics courses for children aged 6+ years that equip them with the necessary skills in the domains of electronics, mechanical, programming & algorithms. O’Botz STEM program nurtures a child’s inquisitive mind with engaging hands-on techniques & experiments.",Ages 6+,Request quote,,Year Round
ID Tech: Coding with Scratch and VEX Virtual Robotics,https://www.idtech.com/courses/virtual-coding-with-scratch-and-vex-virtual-robotics,After-School Program,Private,Elementary,449.0,,Virtual,,,,,"Scratch, developed by MIT, is the gold standard for learning to code creatively. This software helps develop computational thinking skills while removing barriers to self-expression through program design. Without intimidating grammar or syntax, you can focus on solving problems and building projects that are more fun than work. These skills transfer to exploring VEX Virtual Robotics where you’ll dive into navigation, more advanced AI, and solve real-world-inspired problems with sensor data. Start your pathway to a lifelong journey of creative coding and design!",Ages 7-9,449.0,,1 week
ID Tech: Coding: Scratch and VEX Virtual Robotics,https://www.idtech.com/courses/small-group-scratch-and-vex-virtual-robotics,After-School Program,Private,Elementary,624.0,,Virtual,,,,,"Scratch, developed by MIT, is the gold standard for learning to code. This software helps develop computational thinking skills, and it takes away the pressure of intimidating grammar and syntax. Our curriculum additionally has you explore VEX Virtual Robotics to gain insight and understanding of topics such as navigation, more advanced AI, and solving real-world style problems with data from sensors. More than just an introduction to programming, this begins the pathway to a fulfilling lifelong journey of coding and design.",Ages 7-9,624.0,,12 lessons
KOOV,https://www.sony.com/electronics/koov,Curriculum,Private,"Elementary, Middle, High",250.0,,Virtual,,,,,"KOOV is the all-in-one coding, robotics and design kit that combines digital coding with physical building to teach the next generation of innovators.",Students,250.0,,set of modules and activities
Sylvan Learning: Robotics,https://www.sylvanlearning.com/camps/stem,After-School Program,Private,"Elementary, Middle",,,Virtual,,,,,"In our Robotics camps, kids learn how to build and program a variety of robots using LEGO® bricks and award-winning software. Kids bring their LEGO creations to life – how cool is that? Each theme-based session encourages creativity and imagination as kids brainstorm, build and experiment with amazing robots.",Grades 3-8,,,
The Center for Engineering Education and Outreach (CEEO) Design & Engineering Workshops,https://outreach.tuftsceeo.org/online-workshops-for-kids/,conference,Non-Profit,"Elementary, Middle, High",,,MA,Underrepresented,,,,"The CEEO is at the forefront of the movement towards educating the newest generation of engineers and thinkers of all identities. Through years of research and thousands of participants, the CEEO has developed curricula designed for the most fun, innovative, and stimulating workshops for students and teachers alike.",K-12 students,,,
Black Girls Code,https://www.blackgirlscode.com/?fbclid=IwAR399DSWExDIW1olgLOBimxaYefdS2xCQ_DH9nfmsU7J9gYVqfqZ9ywNS1I,conference,Non-Profit,"Elementary, Middle, High",Free,,Virtual,Underrepresented,Female,Black/African American,Community,"Our Vision: To increase the number of women of color in the digital space by empowering girls of color ages 7 to 17 to become innovators in STEM fields, leaders in their communities, and builders of their own futures through exposure to computer science and technology. To provide African-American youth with the skills to occupy some of the 1.4 million computing job openings expected to be available in the U.S. by 2020, and to train 1 million girls by 2040.",Ages 7-17,Free,,Different Weekend Workshops
IBM Activity Kits,https://www.ibm.com/ibm/responsibility/initiatives/activitykits/,conference,Private,"Elementary, Middle, High, Educators",Free,,Virtual,,,,,IBM Activity Kits are designed to enable you to use your specialized skills to teach students and other community groups important new-collar skills. Volunteer your skills to make a positive impact in the communities where you live and work. Each Activity Kit includes supporting materials such as presentations or educational modules designed to make skills-based volunteering easy for anyone.,Students & educators all ages,Free,,Not specified
Code Monkey,https://www.codemonkey.com/courses/,Curriculum,Private,"Elementary, Middle, Educators",Membership (fee not specified),,Virtual,,,,,"CodeMonkey is a leading coding for kids program. Through its award-winning courses, millions of students learn how to code in real programming languages. CodeMonkey offers an engaging and enjoyable curriculum for schools, after-school clubs and camps as well as self-paced online courses to learn coding at home.",Grades K-8 students and educators,Membership (fee not specified),,1- 3 semester length course pathways
CS Teachers Association,https://www.csteachers.org/page/about-csta,Curriculum,Private,"Elementary, Middle, High",Free or $50 annually,,Virtual,Underrepresented,,,,"""Voice for Teachers driven by teachers."" Mission is to empower, engage and advocate for K-12 CS teachers worldwide.",K-12 Educators,Free or $50 annually,,N/A
EngageCSEdu,https://www.engage-csedu.org/,Curriculum,Non-Profit,Educators,Not specified,,Virtual,Underrepresented,,,,Foster diversity in introductory computer science courses with quality content and engaging pedagogy.,Educators,Not specified,,Not specified
Girls' Angle,http://www.girlsangle.org/,After-School Program,Non-Profit,"Middle, High",Members $20/meet; Non-members $30/meet,,MA,Underrepresented,Female,,,"Girls' Angle is a math club for girls; a comprehensive approach to math education for girls; a producer of math educational content; a supportive community for women and girls who study, use, and create mathematics; a nonprofit founded in 2007.",Grades 5-12,Members $20/meet; Non-members $30/meet,,School year
Technovation Girls,https://technovationchallenge.org/curriculum-intro/registered/new/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,Female,,Community,"A global tech education nonprofit that empowers girls and families to become leaders, creators and problem-solvers. Two programs – Technovation Girls and Technovation Families – which bring kids and adults together to solve big problems in their communities.",Grades 5-12 girls and educators,Free,,20 hours total
Code.org,https://studio.code.org/courses?view=teacher,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,,,,"Code.org® is a nonprofit dedicated to expanding access to computer science in schools and increasing participation by young women and students from other underrepresented groups. Our vision is that every student in every school has the opportunity to learn computer science as part of their core K-12 education. The leading provider of K-12 computer science curriculum in the largest school districts in the United States, Code.org also created the annual Hour of Code campaign, which has engaged more than 15% of all students in the world. Code.org is supported by generous donors including Microsoft, Facebook, Amazon, the Infosys Foundation, Google and many more.",K-12 and K-12 Educators,Free,,Not specified
AI for Teachers,https://aiforteachers.catalog.instructure.com/courses/introduction-to-ai-module-1,Curriculum,Non-Profit,Educators,Free,,NC,,,,,Canvas modules made available for K-12 educators that cover curriculum about introducing educators to AI and about Augmented Humanity,K-12 Educators,Free,,2 Modules
K12 Computer Science,https://k12cs.org/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,,,,"The framework promotes a vision in which all students critically engage in computer science issues; approach problems in innovative ways; and create computational artifacts with a personal, practical, or community purpose. The framework offers a set of guidelines that could be used to inform the development of standards, curriculum, and computer science pathways, and also help school systems build capacity for teaching computer science to a diverse student population.","K-12 Educators, school districts, organizations",Free,,Not specified
CS For ALL Curricula Directory,https://www.csforall.org/projects_and_programs/curriculum_directory/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,,,,"National hub for the Computer Science to build rigorous, inclusive, & sustainable CS education for all students. CS for ALL is a 10-year initiative designed to provide a meaningful, high-quality computer science education to public school students in the NYC school system at each school level—elementary, middle and high school. By 2025, the NYC Department of Education (DOE) will train nearly 5,000 teachers who will bring CS education tothe city’s 1.1 million public school students.",Educators and students/ NYC public students,Free,,Not specified
Explore AI Ethics,https://www.exploreaiethics.com/category/curriculum/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators, Professionals",Free,,Virtual,,,,,"Explore AI Ethics is a curated directory of educational resources for teaching and learning about the ethics of artificial intelligence. Organized and searchable by both topic and category, each page contains either a short excerpt from the resource, a press release, a video, or in cases where permission has been granted, the full text. The View Resource button provides a convenient link back to the original content. Your contributions and comments are always welcome. Please use the Contact Form to send feedback or suggest a resource.","Students, policymakers, educators, and programers",Free,,Extensive Courses
Cyber.org,http://cyber.org/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,Underrepresented,,,,"CYBER.ORG empowers educators to teach cyber confidently, resulting in students with the skills and passion needed to succeed in the cyber workforce. Provides collection of learning paths and professional development in cyber.",Grades K-12 students educators,Free,,Varies (5-180 hours per course)
DoEd You for Youth,http://y4y.ed.gov/computer-science,Curriculum,Non-Profit,"Educators, Professionals",Free,,Virtual,,,,,"Free online professional and technical training to encourage hands-on, minds-on opportunities to learn how computer scientists think, and to use “computational thinking” skills to solve problems, develop solutions and innovate. To build a community of caring and competent professionals who nurture, motivate, and engage children and youth in 21st CCLC programs.",Educators,Free,,Not specified
Teaching Kids Programming,http://teachingkidsprogramming.org/,Curriculum,Non-Profit,Educators,Free,,Virtual,Underrepresented,,,Community,TKP is volunteer programmers and teachers who write open source TKPJava courseware,Middle and High School educators,Free,,Over 80 lessions that range from 30-60 minutes
Joint Science and Technology Institute,https://orise.orau.gov/step/,Curriculum,Non-Profit,Educators,Free,,Virtual,Underrepresented,,,Community,"The Joint Science and Technology Institute (JSTI) STEM Teacher Education Project (STEP) provides absolutely free professional development opportunities across the country for a limited number of schools in need. Our focus is on teachers of content areas that align with Department of Defense research interests, such as biotechnology, water quality, design thinking, and much more!",K-12 Educators,Free,,
AI Education Project,https://aiedu.org/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators, Professionals",Free,,Virtual,Underrepresented,,,Community,"Self-guided lesson plans about artificial intelligence, its impacts, and the future of work.",Students & educators all ages,Free,,5-20 hours
Khan Academy,https://www.khanacademy.org/computer-programming/welcome-to-computer-science/882454257,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,,,,,"Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computing, history, art history, economics, and more, including K-14 and test preparation (SAT, Praxis, LSAT) content. We focus on skill mastery to help learners establish strong foundations, so there's no limit to what they can learn next!",K-12 Students and Educators,Free,,
AI Family Challenge,https://www.curiositymachine.org/,Curriculum,Non-Profit,"Elementary, Middle, High",Free,,Virtual,,,,,"Through 10 lessons, learn what Al is, how it works, and how to use it to solve a problem you care about with support from educators, community leaders, and industry professionals.",Parents and K-12 Students,Free,,10 lessons
Discovery Education Coding,https://www.discoveryeducation.com/programs/stem/coding/,Curriculum,Non-Profit,"Elementary, Middle, High, Educators",Free,,Virtual,,,,,"Explanatory videos help simplify complex concepts and provide visual illustrations and examples of what students need to achieve in each lesson of the Coding curriculum. Over 100 lesson plans also provide everything you need for instruction, including a quick overview, learning objectives, success criteria, vocabulary, and key questions for comprehension.",K-12 educators,Free,,Self-guided lessons
Exploring Computer Science,http://www.exploringcs.org/for-teachers-districts/artificial-intelligence,Curriculum,Non-Profit,"High, Educators",Not specified,,Virtual,Underrepresented,,,Community,"Exploring Computer Science is a year-long, research-based, high school intro-level computer science curriculum and teacher professional development program that focuses on broadening participation in computing. We support teachers and districts through implementation of the course regardless of school resources.",High school students and educators,Not specified,,1 year
How to Train Your Robot,https://www.media.mit.edu/projects/ai-5-8/overview/,Curriculum,Non-Profit,Middle,"Not Specified, Possibly free?",,Virtual,,,,,"How to Train Your Robot Companion is a curriculum for students in 5-8th grade to explore artificial intelligence and ethics. In this course, students participate in a range of hot-topic discussions and hands-on, creative activities to learn about how artificial intelligence is impacting society today. Students design robot companions to solve real-world problems and use machine learning to make them intelligent. At the end of the week, there is a showcase where students can share their inventions with their communities and the public.",Middle School Students,"Not Specified, Possibly free?",,1 week
NVIDIA Teaching Kits: Deep Learning,https://www.nvidia.com/en-us/training/teaching-kits/,Curriculum,Non-Profit,Educators,request a quote,,Virtual,,,,,"Co-developed with Professor Yann LeCun and his team at New York University (NYU) this Teaching Kit leverages the latest computing frameworks and techniques to explore introductory and advanced deep learning topics, from image classification to generative adversarial networks (GANs) to natural language processing (NLP).",Educators,request a quote,,
NVIDIA Teaching Kits: Accelerated Computing,https://www.nvidia.com/en-us/training/teaching-kits/,Curriculum,Non-Profit,Educators,request a quote,,Virtual,,,,,"Co-developed with Professor Wen-Mei Hwu and his team from the University of Illinois (UIUC) and Professor Sunita Chandrasekaran and her team from the University of Delaware, this Teaching Kit covers introductory and advanced topics such as parallel programming APIs, programming tools and techniques, principles and patterns of parallel algorithms, and processor architecture features and constraints.",Educators,request a quote,,
